"filename", "language", "Markdown", "C++", "JSON", "comment", "blank", "total"
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Matrix.h", "C++", 0, 52, 0, 1, 24, 77
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Pixel.h", "C++", 0, 15, 0, 0, 7, 22
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/RectButton.h", "C++", 0, 30, 0, 1, 8, 39
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Text.cpp", "C++", 0, 7, 0, 1, 4, 12
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Text.h", "C++", 0, 14, 0, 1, 6, 21
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Texture.cpp", "C++", 0, 84, 0, 11, 45, 140
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Texture.h", "C++", 0, 35, 0, 1, 17, 53
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Widget.h", "C++", 0, 21, 0, 3, 10, 34
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Window.h", "C++", 0, 31, 0, 0, 7, 38
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/glib_wrapper.h", "C++", 0, 91, 0, 30, 26, 147
"/home/plato/mipt_projs/course2/geometry_simulator/src/logger.cpp", "C++", 0, 161, 0, 19, 88, 268
"/home/plato/mipt_projs/course2/geometry_simulator/src/logger.h", "C++", 0, 68, 0, 19, 24, 111
"/home/plato/mipt_projs/course2/geometry_simulator/src/main.cpp", "C++", 0, 6, 0, 0, 4, 10
"/home/plato/mipt_projs/course2/geometry_simulator/src/raytracing/RaytracingTest.cpp", "C++", 0, 217, 0, 21, 84, 322
"/home/plato/mipt_projs/course2/geometry_simulator/src/raytracing/SceneObjects.h", "C++", 0, 109, 0, 6, 30, 145
"Total", "-", 422, 1704, 5, 192, 839, 3162
