"filename", "language", "C++", "Markdown", "JSON", "Makefile", "comment", "blank", "total"
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Application.h", "C++", 31, 0, 0, 0, 1, 11, 43
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/CircleButton.h", "C++", 0, 0, 0, 0, 0, 1, 1
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Color.cpp", "C++", 61, 0, 0, 0, 8, 28, 97
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Color.h", "C++", 31, 0, 0, 0, 1, 11, 43
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/ContainerWidget.h", "C++", 27, 0, 0, 0, 3, 11, 41
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/CoordinateSus.h", "C++", 35, 0, 0, 0, 1, 16, 52
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/CoordinateSys.cpp", "C++", 50, 0, 0, 0, 7, 23, 80
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Event.h", "C++", 50, 0, 0, 0, 1, 9, 60
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/GraphicSpaceKernelAbstract.h", "C++", 23, 0, 0, 0, 1, 7, 31
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Image.h", "C++", 15, 0, 0, 0, 2, 8, 25
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Matrix.h", "C++", 52, 0, 0, 0, 1, 24, 77
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Pixel.h", "C++", 15, 0, 0, 0, 0, 7, 22
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/RectButton.h", "C++", 30, 0, 0, 0, 1, 8, 39
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Text.cpp", "C++", 7, 0, 0, 0, 1, 4, 12
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Text.h", "C++", 14, 0, 0, 0, 1, 6, 21
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Texture.cpp", "C++", 84, 0, 0, 0, 11, 45, 140
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Texture.h", "C++", 35, 0, 0, 0, 1, 17, 53
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Widget.h", "C++", 21, 0, 0, 0, 3, 10, 34
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/Window.h", "C++", 31, 0, 0, 0, 0, 7, 38
"/home/plato/mipt_projs/course2/geometry_simulator/src/gui/glib_wrapper.h", "C++", 91, 0, 0, 0, 30, 26, 147
"/home/plato/mipt_projs/course2/geometry_simulator/src/logger.cpp", "C++", 161, 0, 0, 0, 19, 88, 268
"/home/plato/mipt_projs/course2/geometry_simulator/src/logger.h", "C++", 68, 0, 0, 0, 19, 24, 111
"/home/plato/mipt_projs/course2/geometry_simulator/src/main.cpp", "C++", 1, 0, 0, 0, -4, 0, -3
"/home/plato/mipt_projs/course2/geometry_simulator/src/raytracing/RaytracingTest.cpp", "C++", 217, 0, 0, 0, 21, 84, 322
"/home/plato/mipt_projs/course2/geometry_simulator/src/raytracing/SceneObjects.h", "C++", 109, 0, 0, 0, 6, 30, 145
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests.cpp", "C++", -153, 0, 0, 0, -75, -81, -309
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests.h", "C++", -5, 0, 0, 0, 0, -2, -7
"Total", "-", 1187, 421, 5, -22, 56, 566, 2213
