"filename", "language", "C++", "comment", "blank", "total"
"/home/plato/mipt_projs/course2/geometry_simulator/src/#include "geometry_objects.h".cpp", "C++", -9, -2, -6, -17
"/home/plato/mipt_projs/course2/geometry_simulator/src/ActionVectorsTest.cpp", "C++", -65, -10, -30, -105
"/home/plato/mipt_projs/course2/geometry_simulator/src/GraphicEditor.cpp", "C++", 13, 1, 7, 21
"/home/plato/mipt_projs/course2/geometry_simulator/src/Raytracer.h", "C++", 26, -19, 8, 15
"/home/plato/mipt_projs/course2/geometry_simulator/src/RaytracingTest.cpp", "C++", -158, -50, -81, -289
"/home/plato/mipt_projs/course2/geometry_simulator/src/Sphere.cpp", "C++", -11, -48, -3, -62
"/home/plato/mipt_projs/course2/geometry_simulator/src/SphereTest.cpp", "C++", -90, -13, -41, -144
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Plane.cpp", "C++", 40, 8, 22, 70
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Sphere.cpp", "C++", -5, -2, -1, -8
"/home/plato/mipt_projs/course2/geometry_simulator/src/geometry_objects.h", "C++", 17, 0, 5, 22
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphic_lib_wrapper.h", "C++", 14, 1, 2, 17
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Button.cpp", "C++", 3, 1, 0, 4
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Color.cpp", "C++", 2, 0, 1, 3
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Text.cpp", "C++", 18, 3, 13, 34
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests/ActionVectorsTest.cpp", "C++", 65, 10, 30, 105
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests/RaytracingTest.cpp", "C++", 207, 66, 94, 367
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests/SphereTest.cpp", "C++", 90, 13, 41, 144
"Total", "-", 157, -41, 61, 177
