"filename", "language", "C++", "comment", "blank", "total"
"/home/plato/mipt_projs/course2/geometry_simulator/src/ActionVectorsTest.cpp", "C++", 65, 10, 30, 105
"/home/plato/mipt_projs/course2/geometry_simulator/src/GraphicEditor.cpp", "C++", 60, 9, 28, 97
"/home/plato/mipt_projs/course2/geometry_simulator/src/Raytracer.h", "C++", 71, 9, 29, 109
"/home/plato/mipt_projs/course2/geometry_simulator/src/RaytracingTest.cpp", "C++", 105, 46, 54, 205
"/home/plato/mipt_projs/course2/geometry_simulator/src/Sphere.cpp", "C++", 39, 5, 18, 62
"/home/plato/mipt_projs/course2/geometry_simulator/src/SphereTest.cpp", "C++", 90, 13, 41, 144
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Sphere.cpp", "C++", 54, 6, 21, 81
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Vector.cpp", "C++", 84, 15, 44, 143
"/home/plato/mipt_projs/course2/geometry_simulator/src/geom_primitives/Vector3D.cpp", "C++", 84, 17, 41, 142
"/home/plato/mipt_projs/course2/geometry_simulator/src/geometry_objects.h", "C++", 83, 3, 39, 125
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphic_lib_wrapper.h", "C++", 144, 16, 50, 210
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Button.cpp", "C++", 29, 4, 13, 46
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Color.cpp", "C++", 63, 8, 31, 102
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/CoordinateSys.cpp", "C++", 84, 9, 37, 130
"/home/plato/mipt_projs/course2/geometry_simulator/src/graphical_primitives/Vector.cpp", "C++", 62, 16, 39, 117
"/home/plato/mipt_projs/course2/geometry_simulator/src/main.cpp", "C++", 19, 2, 6, 27
"/home/plato/mipt_projs/course2/geometry_simulator/src/tests.h", "C++", 29, 2, 12, 43
"Total", "-", 1165, 190, 533, 1888
